Date,Adj Close,Close,High,Low,Open,Volume
2018-01-01,415.24420166015625,516.7750244140625,522.25,515.0,518.8499755859375,5431340
2018-01-02,413.6974182128906,514.8499755859375,521.0,511.5,518.625,6112248
2018-01-03,410.32257080078125,510.6499938964844,515.7999877929688,509.29998779296875,514.25,6846552
2018-01-04,407.95220947265625,507.70001220703125,510.5,504.79998779296875,510.5,8947614
2018-01-05,406.5861511230469,506.0,513.2000122070312,503.0,507.6499938964844,11025976
2018-01-08,416.2486267089844,518.0250244140625,519.5,510.0249938964844,512.4500122070312,5594690
2018-01-09,418.3779602050781,520.6749877929688,522.4500122070312,514.4500122070312,520.0,9948236
2018-01-10,422.7572021484375,526.125,528.0,516.5250244140625,523.4000244140625,9468634
2018-01-11,432.2188415527344,537.9000244140625,541.7000122070312,527.625,527.625,16775298
2018-01-12,433.283447265625,539.2249755859375,542.9500122070312,535.2750244140625,542.9000244140625,18016528
2018-01-15,434.3683166503906,540.5750122070312,546.4749755859375,532.5499877929688,540.0,10649250
2018-01-16,451.1217956542969,561.4249877929688,567.4000244140625,540.625,540.625,22646966
2018-01-17,462.8734436035156,576.0499877929688,580.9000244140625,561.5,562.4249877929688,26154088
2018-01-18,463.11444091796875,576.3499755859375,582.4500122070312,566.0499877929688,572.5,13204970
2018-01-19,459.39813232421875,571.7249755859375,573.9500122070312,568.0,572.5,5988278
2018-01-22,462.02972412109375,575.0,578.4749755859375,566.0,566.0750122070312,9650214
2018-01-23,472.9176330566406,588.5499877929688,594.0,577.5,577.5,15403796
2018-01-24,476.4129638671875,592.9000244140625,610.5250244140625,583.75,587.4000244140625,20604718
2018-01-25,472.2345886230469,587.7000122070312,591.7000122070312,581.125,591.0,13548914
2018-01-29,475.24786376953125,591.4500122070312,598.125,582.5999755859375,583.2750244140625,10823002
2018-01-30,470.32623291015625,585.3250122070312,591.5499877929688,581.3499755859375,589.4500122070312,8628312
2018-01-31,462.13018798828125,575.125,583.2999877929688,571.0750122070312,579.5750122070312,9213698
2018-02-01,459.8602600097656,572.2999877929688,578.9500122070312,559.2750244140625,571.0999755859375,13005454
2018-02-02,459.31781005859375,571.625,581.4500122070312,565.0499877929688,567.625,10244486
